model,graph,M_before,M_after,role,K,N,n,weight_MB_each,weight_MB_total,dtype,biased,kind_before,kind_after,kind_mix_before,kind_mix_after,w_before,w_after,kpc_after,pcn_after,in0_cores_after,w_space_before,w_space_after,w_memlayout_before,w_memlayout_after,best_w_le8,moved_to_ds,w_collapsed
swin,g0,49,49,lm_head,192,384,1,0.147456,0.147456,bf16,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,12,12,12,6,1,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,other,192,768,2,0.294912,0.589824,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,24,24,24,6,1,dram,dram,interleaved,interleaved,8,0,0
swin,g0,49,49,o_proj,288,96,2,0.055296,0.110592,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,3,3,26,9,8,dram,dram,interleaved,interleaved,2,0,0
swin,g0,49,49,o_proj,384,96,2,0.073728,0.147456,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,3,3,3,12,1,dram,dram,interleaved,interleaved,3,0,0
swin,g0,49,49,o_proj,384,384,18,0.294912,5.308416,bf16,1,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,8,2,8,dram,dram,interleaved,interleaved,8,0,0
swin,g0,49,49,lm_head,384,768,1,0.589824,0.589824,bf16,0,mcast2d,mcast2d,mcast2dx1,mcast2dx1,2,2,4,2,6,dram,dram,interleaved,interleaved,4,0,0
swin,g0,49,49,other,384,1536,18,1.179648,21.233664,bf16,1,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,6,2,8,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,o_proj,576,192,2,0.221184,0.442368,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,6,6,15,18,8,dram,dram,interleaved,interleaved,5,0,0
swin,g0,49,49,o_proj,768,192,2,0.294912,0.589824,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,6,6,6,24,1,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,o_proj,768,768,2,1.179648,2.359296,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,6,3,8,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,lm_head,768,1000,1,3.072,3.072,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
swin,g0,49,49,lm_head,768,1536,1,2.359296,2.359296,bf16,0,mcast2d,mcast2d,mcast2dx1,mcast2dx1,2,2,6,3,8,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,other,768,3072,2,4.718592,9.437184,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,12,3,8,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,o_proj,1152,384,18,0.884736,15.925248,bf16,1,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,8,5,8,dram,dram,interleaved,interleaved,8,0,0
swin,g0,49,49,o_proj,1536,384,18,1.179648,21.233664,bf16,1,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,2,6,6,dram,dram,interleaved,interleaved,2,0,0
swin,g0,49,49,o_proj,2304,768,2,3.538944,7.077888,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,6,9,8,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,down,3072,768,2,4.718592,9.437184,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,3,12,8,dram,dram,interleaved,interleaved,3,0,0
tiiuae_falcon3_1b_base,g0,544,544,o_proj,2048,2048,18,4.456448,80.216064,bfp_bf8,0,mcast1d,mcast1d,mcast1dx18,mcast1dx18,8,8,17,1,8,dram,dram,interleaved,interleaved,1,0,0
tiiuae_falcon3_1b_base,g0,544,544,qkv,2048,4096,18,8.912896,160.432128,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx17,mcast2dx1","mcast1dx17,mcast2dx1",8,8,8,16,8,dram,dram,interleaved,interleaved,8,0,0
tiiuae_falcon3_1b_base,g0,544,544,gate/up,2048,8192,36,17.825792,641.728512,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,2,2,2,4,32,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_1b_base,g0,544,544,lm_head,2048,131072,1,285.212672,285.212672,bfp_bf8,0,default,default,defaultx1,defaultx1,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
tiiuae_falcon3_1b_base,g0,544,544,down,8192,2048,18,17.825792,320.864256,bfp_bf8,0,mcast1d,mcast1d,mcast1dx18,mcast1dx18,8,8,68,1,8,dram,dram,interleaved,interleaved,4,0,0
tiiuae_falcon3_3b_base,g0,544,544,o_proj,3072,3072,22,10.027008,220.594176,bfp_bf8,0,mcast1d,mcast1d,mcast1dx22,mcast1dx22,8,8,26,2,8,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_3b_base,g0,544,544,qkv,3072,5120,22,16.71168,367.65696,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx21,mcast2dx1","mcast1dx21,mcast2dx1",2,2,12,20,8,dram,dram,interleaved,interleaved,6,0,0
tiiuae_falcon3_3b_base,g0,544,544,gate/up,3072,9216,44,30.081024,1323.565056,bfp_bf8,0,mcast1d,mcast1d,mcast1dx44,mcast1dx44,2,2,2,5,48,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_3b_base,g0,544,544,lm_head,3072,131072,1,427.819008,427.819008,bfp_bf8,0,default,default,defaultx1,defaultx1,,,2,,48,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_3b_base,g0,544,544,down,9216,3072,22,30.081024,661.782528,bfp_bf8,0,mcast1d,mcast1d,mcast1dx22,mcast1dx22,8,8,8,2,36,dram,dram,interleaved,interleaved,8,0,0
tiiuae_falcon3_7b_base,g0,544,544,o_proj,3072,3072,28,10.027008,280.756224,bfp_bf8,0,mcast1d,mcast1d,mcast1dx28,mcast1dx28,8,8,26,2,8,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_7b_base,g0,544,544,qkv,3072,5120,28,16.71168,467.92704,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx27,mcast2dx1","mcast1dx27,mcast2dx1",2,2,12,20,8,dram,dram,interleaved,interleaved,6,0,0
tiiuae_falcon3_7b_base,g0,544,544,gate/up,3072,23040,56,75.20256,4211.34336,bfp_bf8,0,mcast1d,mcast1d,mcast1dx56,mcast1dx56,2,2,2,12,48,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_7b_base,g0,544,544,lm_head,3072,131072,1,427.819008,427.819008,bfp_bf8,0,default,default,defaultx1,defaultx1,,,2,,48,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_7b_base,g0,544,544,down,23040,3072,28,75.20256,2105.67168,bfp_bf8,0,mcast1d,mcast1d,mcast1dx28,mcast1dx28,8,8,720,2,1,dram,dram,interleaved,interleaved,8,0,0
ufld_v2,g0,1,1,other,2000,2048,1,16.384,16.384,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,1,1,1,1,8,dram,dram,interleaved,interleaved,1,0,0
ufld_v2,g0,1,1,other,2048,39576,1,324.206592,324.206592,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,23,32,dram,dram,interleaved,interleaved,2,0,0
unet_for_conditional_generation,g0,256,256,qkv,16,32,2,0.001024,0.002048,bf16,0,default,default,defaultx2,defaultx2,,,1,,1,dram,dram,interleaved,interleaved,1,0,0
unet_for_conditional_generation,g0,256,256,other,32,64,2,0.004096,0.008192,bf16,0,default,default,defaultx2,defaultx2,,,1,,1,dram,dram,interleaved,interleaved,1,0,0
unet_for_conditional_generation,g0,256,256,lm_head,320,1280,1,1.6384,1.6384,f32,1,default,default,defaultx1,defaultx1,,,10,,1,dram,dram,interleaved,interleaved,5,0,0
unet_for_conditional_generation,g0,256,256,o_proj,640,640,40,0.8192,32.768,bf16,1,default,default,defaultx40,defaultx40,,,20,,1,dram,dram,interleaved,interleaved,5,0,0
unet_for_conditional_generation,g0,256,256,other,640,1920,10,2.4576,24.576,bf16,0,default,default,defaultx10,defaultx10,,,20,,1,dram,dram,interleaved,interleaved,5,0,0
unet_for_conditional_generation,g0,256,256,other,640,5120,10,6.5536,65.536,bf16,1,default,default,defaultx10,defaultx10,,,20,,1,dram,dram,interleaved,interleaved,5,0,0
unet_for_conditional_generation,g0,256,256,o_proj,1280,1280,194,6.5536,1271.3984,f32,1,default,default,defaultx194,defaultx194,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,other,1280,3840,60,9.8304,589.824,bf16,0,default,default,defaultx60,defaultx60,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,other,1280,10240,60,26.2144,1572.864,bf16,1,default,default,defaultx60,defaultx60,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,lm_head,1280,13760,1,70.4512,70.4512,f32,1,default,default,defaultx1,defaultx1,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,lm_head,2048,166400,1,681.5744,681.5744,bf16,0,default,default,defaultx1,defaultx1,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,o_proj,2560,640,10,3.2768,32.768,bf16,1,default,default,defaultx10,defaultx10,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,lm_head,2816,1280,1,14.41792,14.41792,f32,1,default,default,defaultx1,defaultx1,,,88,,1,dram,dram,interleaved,interleaved,8,0,0
unet_for_conditional_generation,g0,256,256,o_proj,5120,1280,60,13.1072,786.432,bf16,1,default,default,defaultx60,defaultx60,,,160,,1,dram,dram,interleaved,interleaved,8,0,0
vit,g0,1576,1576,o_proj,768,768,12,1.179648,14.155776,bf16,1,mcast2d,mcast2d,mcast2dx12,mcast2dx12,2,2,19,3,8,dram,dram,interleaved,interleaved,1,0,0
vit,g0,1576,1576,lm_head,768,1000,1,3.072,3.072,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
vit,g0,1576,1576,qkv,768,2304,12,3.538944,42.467328,bf16,1,mcast2d,mcast2d,mcast2dx12,mcast2dx12,2,2,19,9,8,dram,dram,interleaved,interleaved,1,0,0
vit,g0,1576,1576,qkv,768,3072,12,4.718592,56.623104,bf16,1,mcast2d,mcast2d,mcast2dx12,mcast2dx12,2,2,12,3,8,dram,dram,interleaved,interleaved,6,0,0
vit,g0,1576,1576,down,3072,768,12,4.718592,56.623104,bf16,1,mcast2d,mcast2d,mcast2dx12,mcast2dx12,2,2,19,12,8,dram,dram,interleaved,interleaved,1,0,0
vovnet,g0,8,8,other,1024,1000,1,4.096,4.096,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
